userId,month,date,sleep_start_time,sleep_end_time,sleep_min,sleep_efficiency,awaken_min,awaken_moments,cal_consume,active_cal,walks,distance,stairs,active_ratio,nap_total_freq,nap_total_time
1,4,23,1617,1852,216,0.9191,19,21,1719,700,11975,8.85,12,0.2809,1,104
1,4,24,1833,2170,287,0.8516,50,20,1761,755,11712,8.05,19,0.2302,1,139
1,4,25,1526,2003,413,0.8658,64,28,1850,868,12898,8.72,8,0.2473,0,0
1,4,26,1593,1941,293,0.842,55,26,1795,805,12306,8.25,20,0.2749,0,0
1,4,27,1532,1912,329,0.8658,51,27,1848,894,9207,6.16,15,0.2891,0,0
1,4,28,1619,1989,341,0.9216,29,29,1997,1097,12121,8.06,20,0.3648,0,0
1,4,29,1564,1933,331,0.897,38,18,1479,403,3740,2.49,6,0.163,1,62
1,4,30,1570,1899,282,0.8571,47,31,1681,662,9657,6.42,15,0.2146,0,0
1,5,1,1477,2050,490,0.8551,83,34,1683,656,9420,6.26,11,0.2041,0,0
1,5,2,1455,1741,253,0.8846,33,17,1672,635,9961,6.72,13,0.2327,0,0
1,5,3,1579,1922,299,0.8717,44,20,1626,593,8578,5.8,30,0.1954,1,101
1,5,4,1524,2111,529,0.9012,58,46,1735,758,8894,6.04,17,0.2632,0,0
1,5,5,1544,2245,636,0.9073,65,4,1518,457,5546,3.69,1,0.2026,0,0
1,5,6,1453,2133,569,0.8368,111,40,1508,470,3870,2.57,2,0.273,0,0
1,5,7,1514,1777,232,0.8821,31,3,1548,498,6984,4.73,5,0.2326,0,0
1,5,8,1451,2026,477,0.8296,98,35,1313,191,2312,1.59,3,0.0577,0,0
1,5,9,1755,1884,118,0.9147,9,1,1716,691,8558,5.79,15,0.2829,0,0
1,5,10,1633,1949,289,0.9146,27,14,1772,782,8786,5.84,19,0.2172,0,0
1,5,11,1430,1882,400,0.885,52,25,1964,1014,8152,5.42,16,0.3164,0,0
1,5,12,1547,1985,375,0.8562,63,16,1769,781,9354,6.43,6,0.2912,1,165
1,5,13,1541,2013,409,0.8665,63,26,1342,231,2513,1.67,2,0.1054,0,0
1,5,14,1526,1929,360,0.8933,43,26,1444,352,5102,3.48,12,0.1334,1,74
1,5,15,1586,2031,394,0.8854,51,26,2103,1189,14309,9.56,16,0.3956,1,84
1,5,16,1516,1898,352,0.9215,30,25,1793,818,8393,5.58,25,0.3002,0,0
1,5,17,1539,1932,336,0.855,57,28,1527,476,5927,3.94,14,0.169,0,0
1,5,18,1801,2100,272,0.9097,27,20,1686,678,8035,5.34,15,0.2405,0,0
1,5,19,1630,2106,423,0.8887,53,34,1586,516,7772,5.22,6,0.1869,1,191
1,5,20,1617,2010,346,0.8804,47,26,1217,68,374,0.25,0,0.0352,0,0
1,5,21,1595,2184,500,0.8489,89,36,1576,529,7707,5.17,7,0.1718,0,0
1,5,22,1558,2028,422,0.8979,48,40,1460,382,4192,2.79,1,0.1714,0,0
1,5,23,1662,1965,258,0.8515,45,17,1659,629,8159,5.43,17,0.2225,0,0
1,5,24,1625,2147,455,0.8716,67,34,1592,561,6351,4.22,15,0.2081,1,93
1,5,25,-1,-1,-1,-1,-1,-1,1647,638,7728,5.17,7,0.2612,-1,-1
1,5,26,-1,-1,-1,-1,-1,-1,1539,45,6402,4.25,10,0.0125,-1,-1
1,5,27,-1,-1,-1,-1,-1,-1,1421,0,4012,2.67,10,0,-1,-1
1,5,28,-1,-1,-1,-1,-1,-1,1704,0,5602,3.73,17,0,-1,-1
1,5,29,-1,-1,-1,-1,-1,-1,1705,0,7820,5.2,17,0,-1,-1
1,5,30,-1,-1,-1,-1,-1,-1,1758,0,10253,7.07,16,0,-1,-1
1,5,31,1691,2053,327,0.9033,35,3,1557,414,5526,3.67,10,0.112,1,92
1,6,1,1542,1911,336,0.9106,33,1,1685,654,6261,4.21,9,0.2326,0,0
1,6,2,1542,2174,583,0.9225,48,1,1691,678,8666,5.89,9,0.2323,0,0
1,6,3,1655,1879,197,0.8795,26,1,1269,129,1092,0.73,0,0.0868,1,138
2,4,23,1711,1962,217,0.8645,34,10,1900,613,6507,4.31,0,0.1623,1,203
2,4,24,1708,1918,192,0.9143,18,9,2611,1469,17043,11.3,11,0.333,1,88
2,4,25,939,1213,264,0.9635,10,15,2382,1217,9704,6.43,5,0.3544,1,227
2,4,26,1532,1892,315,0.875,45,23,2398,1227,12591,8.35,6,0.2382,0,0
2,4,27,2026,2131,100,0.9524,5,2,2047,802,8649,5.73,14,0.2083,2,161
2,4,28,-1,-1,-1,-1,-1,-1,2079,820,6239,4.14,9,0.1718,-1,-1
2,4,29,1612,2029,368,0.8825,49,21,1819,529,4831,3.2,0,0.1138,0,0
2,4,30,1228,1425,171,0.868,26,15,1988,713,7026,4.66,8,0.2177,0,0
2,5,1,1481,2180,620,0.887,79,33,2476,1308,13105,8.69,9,0.2158,0,0
2,5,2,1849,2123,241,0.8796,33,20,1906,611,4789,3.18,1,0.2251,0,0
2,5,3,894,1137,213,0.8765,30,11,2119,881,8731,5.79,8,0.234,1,133
2,5,4,1205,1831,564,0.901,62,32,1973,715,6177,4.1,10,0.1579,0,0
2,5,5,1511,1888,338,0.8966,39,20,2771,1707,17347,11.5,22,0.5043,0,0
2,5,6,1655,2093,404,0.9224,34,20,2238,1068,8908,5.91,9,0.2556,0,0
2,5,7,1736,1939,167,0.8227,36,12,2130,917,11197,7.42,5,0.2223,0,0
2,5,8,1478,1948,426,0.9064,44,32,2481,1346,14103,9.35,7,0.2544,0,0
2,5,9,1623,1957,294,0.8802,40,15,2154,916,9215,6.11,9,0.2286,0,0
2,5,10,1172,1301,121,0.938,8,1,2422,1268,14547,9.64,16,0.2996,1,118
2,5,11,1434,2041,555,0.9143,52,29,2194,1024,11203,7.43,7,0.2217,0,0
2,5,12,1650,1970,284,0.8875,36,13,1557,202,1212,0.8,0,0.0935,0,0
