userId,month,date,sleep_start_time,sleep_end_time,sleep_min,sleep_efficiency,awaken_min,awaken_moments,cal_consume,active_cal,walks,distance,stairs,active_ratio,nap_total_freq,nap_total_time
1.0,4.0,23.0,1617.0,1852.0,216.0,0.92,19.0,21.0,1719.0,700.0,11975.0,8.85,12.0,0.28,1.0,104.0
1.0,4.0,24.0,1833.0,2170.0,287.0,0.85,50.0,20.0,1761.0,755.0,11712.0,8.05,19.0,0.23,1.0,139.0
1.0,4.0,25.0,1526.0,2003.0,413.0,0.87,64.0,28.0,1850.0,868.0,12898.0,8.72,8.0,0.25,0.0,0.0
1.0,4.0,26.0,1593.0,1941.0,293.0,0.84,55.0,26.0,1795.0,805.0,12306.0,8.25,20.0,0.27,0.0,0.0
1.0,4.0,27.0,1532.0,1912.0,329.0,0.87,51.0,27.0,1848.0,894.0,9207.0,6.16,15.0,0.29,0.0,0.0
1.0,4.0,28.0,1619.0,1989.0,341.0,0.92,29.0,29.0,1997.0,1097.0,12121.0,8.06,20.0,0.36,0.0,0.0
1.0,4.0,29.0,1564.0,1933.0,331.0,0.9,38.0,18.0,1479.0,403.0,3740.0,2.49,6.0,0.16,1.0,62.0
1.0,4.0,30.0,1570.0,1899.0,282.0,0.86,47.0,31.0,1681.0,662.0,9657.0,6.42,15.0,0.21,0.0,0.0
1.0,5.0,1.0,1477.0,2050.0,490.0,0.86,83.0,34.0,1683.0,656.0,9420.0,6.26,11.0,0.2,0.0,0.0
1.0,5.0,2.0,1455.0,1741.0,253.0,0.88,33.0,17.0,1672.0,635.0,9961.0,6.72,13.0,0.23,0.0,0.0
1.0,5.0,3.0,1579.0,1922.0,299.0,0.87,44.0,20.0,1626.0,593.0,8578.0,5.8,30.0,0.2,1.0,101.0
1.0,5.0,4.0,1524.0,2111.0,529.0,0.9,58.0,46.0,1735.0,758.0,8894.0,6.04,17.0,0.26,0.0,0.0
1.0,5.0,5.0,1544.0,2245.0,636.0,0.91,65.0,4.0,1518.0,457.0,5546.0,3.69,1.0,0.2,0.0,0.0
1.0,5.0,6.0,1453.0,2133.0,569.0,0.84,111.0,40.0,1508.0,470.0,3870.0,2.57,2.0,0.27,0.0,0.0
1.0,5.0,7.0,1514.0,1777.0,232.0,0.88,31.0,3.0,1548.0,498.0,6984.0,4.73,5.0,0.23,0.0,0.0
1.0,5.0,8.0,1451.0,2026.0,477.0,0.83,98.0,35.0,1313.0,191.0,2312.0,1.59,3.0,0.06,0.0,0.0
1.0,5.0,9.0,1755.0,1884.0,118.0,0.91,9.0,1.0,1716.0,691.0,8558.0,5.79,15.0,0.28,0.0,0.0
1.0,5.0,10.0,1633.0,1949.0,289.0,0.91,27.0,14.0,1772.0,782.0,8786.0,5.84,19.0,0.22,0.0,0.0
1.0,5.0,11.0,1430.0,1882.0,400.0,0.89,52.0,25.0,1964.0,1014.0,8152.0,5.42,16.0,0.32,0.0,0.0
1.0,5.0,12.0,1547.0,1985.0,375.0,0.86,63.0,16.0,1769.0,781.0,9354.0,6.43,6.0,0.29,1.0,165.0
1.0,5.0,13.0,1541.0,2013.0,409.0,0.87,63.0,26.0,1342.0,231.0,2513.0,1.67,2.0,0.11,0.0,0.0
1.0,5.0,14.0,1526.0,1929.0,360.0,0.89,43.0,26.0,1444.0,352.0,5102.0,3.48,12.0,0.13,1.0,74.0
1.0,5.0,15.0,1586.0,2031.0,394.0,0.89,51.0,26.0,2103.0,1189.0,14309.0,9.56,16.0,0.4,1.0,84.0
1.0,5.0,16.0,1516.0,1898.0,352.0,0.92,30.0,25.0,1793.0,818.0,8393.0,5.58,25.0,0.3,0.0,0.0
1.0,5.0,17.0,1539.0,1932.0,336.0,0.85,57.0,28.0,1527.0,476.0,5927.0,3.94,14.0,0.17,0.0,0.0
1.0,5.0,18.0,1801.0,2100.0,272.0,0.91,27.0,20.0,1686.0,678.0,8035.0,5.34,15.0,0.24,0.0,0.0
1.0,5.0,19.0,1630.0,2106.0,423.0,0.89,53.0,34.0,1586.0,516.0,7772.0,5.22,6.0,0.19,1.0,191.0
1.0,5.0,20.0,1617.0,2010.0,346.0,0.88,47.0,26.0,1217.0,68.0,374.0,0.25,0.0,0.04,0.0,0.0
1.0,5.0,21.0,1595.0,2184.0,500.0,0.85,89.0,36.0,1576.0,529.0,7707.0,5.17,7.0,0.17,0.0,0.0
1.0,5.0,22.0,1558.0,2028.0,422.0,0.9,48.0,40.0,1460.0,382.0,4192.0,2.79,1.0,0.17,0.0,0.0
1.0,5.0,23.0,1662.0,1965.0,258.0,0.85,45.0,17.0,1659.0,629.0,8159.0,5.43,17.0,0.22,0.0,0.0
1.0,5.0,24.0,1625.0,2147.0,455.0,0.87,67.0,34.0,1592.0,561.0,6351.0,4.22,15.0,0.21,1.0,93.0
1.0,5.0,25.0,1575.375,1992.09375,365.1875,0.879375,51.46875,24.78125,1647.0,638.0,7728.0,5.17,7.0,0.26,0.28125,31.65625
1.0,5.0,26.0,1575.375,1992.09375,365.1875,0.879375,51.46875,24.78125,1539.0,45.0,6402.0,4.25,10.0,0.01,0.28125,31.65625
1.0,5.0,27.0,1575.375,1992.09375,365.1875,0.879375,51.46875,24.78125,1421.0,0.0,4012.0,2.67,10.0,0.0,0.28125,31.65625
1.0,5.0,28.0,1575.375,1992.09375,365.1875,0.879375,51.46875,24.78125,1704.0,0.0,5602.0,3.73,17.0,0.0,0.28125,31.65625
1.0,5.0,29.0,1575.375,1992.09375,365.1875,0.879375,51.46875,24.78125,1705.0,0.0,7820.0,5.2,17.0,0.0,0.28125,31.65625
1.0,5.0,30.0,1575.375,1992.09375,365.1875,0.879375,51.46875,24.78125,1758.0,0.0,10253.0,7.07,16.0,0.0,0.28125,31.65625
1.0,5.0,31.0,1691.0,2053.0,327.0,0.9,35.0,3.0,1557.0,414.0,5526.0,3.67,10.0,0.11,1.0,92.0
1.0,6.0,1.0,1542.0,1911.0,336.0,0.91,33.0,1.0,1685.0,654.0,6261.0,4.21,9.0,0.23,0.0,0.0
1.0,6.0,2.0,1542.0,2174.0,583.0,0.92,48.0,1.0,1691.0,678.0,8666.0,5.89,9.0,0.23,0.0,0.0
1.0,6.0,3.0,1655.0,1879.0,197.0,0.88,26.0,1.0,1269.0,129.0,1092.0,0.73,0.0,0.09,1.0,138.0
