userId,month,date,sleep_start_time,sleep_end_time,sleep_min,sleep_efficiency,awaken_min,awaken_moments,cal_consume,active_cal,walks,distance,stairs,active_ratio,nap_total_freq,nap_total_time
1,4,23,1617,1852,216,0.92,19,21,1719,700,11975,8.85,12,0.28,1,104
1,4,24,1833,2170,287,0.85,50,20,1761,755,11712,8.05,19,0.23,1,139
1,4,25,1526,2003,413,0.87,64,28,1850,868,12898,8.72,8,0.25,0,0
1,4,26,1593,1941,293,0.84,55,26,1795,805,12306,8.25,20,0.27,0,0
1,4,27,1532,1912,329,0.87,51,27,1848,894,9207,6.16,15,0.29,0,0
1,4,28,1619,1989,341,0.92,29,29,1997,1097,12121,8.06,20,0.36,0,0
1,4,29,1564,1933,331,0.9,38,18,1479,403,3740,2.49,6,0.16,1,62
1,4,30,1570,1899,282,0.86,47,31,1681,662,9657,6.42,15,0.21,0,0
1,5,1,1477,2050,490,0.86,83,34,1683,656,9420,6.26,11,0.2,0,0
1,5,2,1455,1741,253,0.88,33,17,1672,635,9961,6.72,13,0.23,0,0
1,5,3,1579,1922,299,0.87,44,20,1626,593,8578,5.8,30,0.2,1,101
1,5,4,1524,2111,529,0.9,58,46,1735,758,8894,6.04,17,0.26,0,0
1,5,5,1544,2245,636,0.91,65,4,1518,457,5546,3.69,1,0.2,0,0
1,5,6,1453,2133,569,0.84,111,40,1508,470,3870,2.57,2,0.27,0,0
1,5,7,1514,1777,232,0.88,31,3,1548,498,6984,4.73,5,0.23,0,0
1,5,8,1451,2026,477,0.83,98,35,1313,191,2312,1.59,3,0.06,0,0
1,5,9,1755,1884,118,0.91,9,1,1716,691,8558,5.79,15,0.28,0,0
1,5,10,1633,1949,289,0.91,27,14,1772,782,8786,5.84,19,0.22,0,0
1,5,11,1430,1882,400,0.89,52,25,1964,1014,8152,5.42,16,0.32,0,0
1,5,12,1547,1985,375,0.86,63,16,1769,781,9354,6.43,6,0.29,1,165
1,5,13,1541,2013,409,0.87,63,26,1342,231,2513,1.67,2,0.11,0,0
1,5,14,1526,1929,360,0.89,43,26,1444,352,5102,3.48,12,0.13,1,74
1,5,15,1586,2031,394,0.89,51,26,2103,1189,14309,9.56,16,0.4,1,84
1,5,16,1516,1898,352,0.92,30,25,1793,818,8393,5.58,25,0.3,0,0
1,5,17,1539,1932,336,0.85,57,28,1527,476,5927,3.94,14,0.17,0,0
1,5,18,1801,2100,272,0.91,27,20,1686,678,8035,5.34,15,0.24,0,0
1,5,19,1630,2106,423,0.89,53,34,1586,516,7772,5.22,6,0.19,1,191
1,5,20,1617,2010,346,0.88,47,26,1217,68,374,0.25,0,0.04,0,0
1,5,21,1595,2184,500,0.85,89,36,1576,529,7707,5.17,7,0.17,0,0
1,5,22,1558,2028,422,0.9,48,40,1460,382,4192,2.79,1,0.17,0,0
1,5,23,1662,1965,258,0.85,45,17,1659,629,8159,5.43,17,0.22,0,0
1,5,24,1625,2147,455,0.87,67,34,1592,561,6351,4.22,15,0.21,1,93
1,5,25,1685.369445,2006.003178,294.7646214,0.928182122,39.2586706,20.69003209,1647,638,7728,5.17,7,0.26,0.025809452,6.230082046
1,5,26,1641.525462,2193.496809,215.4045689,0.969461669,43.0161431,15.44755127,1539,45,6402,4.25,10,0.01,0.420630962,36.13370009
1,5,27,1730.838504,2000.645624,204.8990888,0.975323471,26.24752402,5.673735112,1421,0,4012,2.67,10,0,0.329492182,66.31864893
1,5,28,1717.224043,1433.422218,564.0940428,0.986676544,38.57960165,13.89651744,1704,0,5602,3.73,17,0,0.006439291,2.8084623
1,5,29,1499.80442,2082.531031,506.3953424,0.937421806,62.27899939,29.30159372,1705,0,7820,5.2,17,0,0.1059319,8.496288676
